Date,Day,High Temp,Low Temp,Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total,,Total/day of week avg,,Average total:,
17-May,Tuesday,64.4,55.4,0,"2,812","5,230","6,219","4,344","18,605",,0.895234399,,,
18-May,Wednesday,68,53.6,0,"3,309","5,812","6,739","4,603","20,463",,0.912619598,,,
19-May,Thursday,71.1,57,0,"3,474","6,214","7,485","4,763","21,936",,1.055564378,,,
20-May,Friday,75,55,0,"3,976","6,994","7,776","5,221","23,967",,1.332641582,,,
21-May,Saturday,66,55,0.04,"1,665","2,864","3,978","2,928","11,435",,0.762300546,,,
22-May,Sunday,69.1,53.1,0.09,"2,117","3,729","4,633","2,956","13,435",,0.979485334,,,
23-May,Monday,77,57.9,0.02,"3,928","6,843","7,769","5,135","23,675",,1.220756647,,,
24-May,Tuesday,73,59,0.18,"1,482","3,019","4,260","2,392","11,153",,0.53665946,,,
25-May,Wednesday,87.1,64,0,"4,244","7,869","8,959","5,906","26,978",,1.203178983,,,
26-May,Thursday,89.1,71.1,0,"3,887","7,037","8,231","5,451","24,606",,1.184045271,,,
27-May,Friday,86,75,0,"3,302","5,670","7,054","4,592","20,618",,1.146426509,,,
28-May,Saturday,90,72,0,"2,664","3,998","5,327","3,895","15,884",,1.05888779,,,
29-May,Sunday,86,73,0,"3,193","4,154","4,918","3,635","15,900",,1.159197381,,,
30-May,Monday,79,68,1.65,"1,719","2,750","3,759","2,689","10,917",,0.56291448,,,
31-May,Tuesday,84.9,72,0,"3,948","7,016","7,957","5,556","24,477",,1.177782982,,,
1-Jun,Wednesday,82,71.1,0,"4,126","7,565","9,028","5,823","26,542",,1.183734026,,,
2-Jun,Thursday,75.9,63,0,"4,161","7,229","8,764","5,833","25,987",,1.250499247,,,
3-Jun,Friday,70,64,0.04,"1,864","3,708","4,961","3,189","13,722",,0.762986931,,,
4-Jun,Saturday,82.9,66.9,0.4,"3,134","4,840","6,051","4,193","18,218",,1.214481098,,,
5-Jun,Sunday,70,64.9,0.91,918,"1,593","2,473","1,805","6,789",,0.49495541,,,
6-Jun,Monday,82,66.9,0,"4,280","7,542","8,489","5,654","25,965",,1.338836171,,,
7-Jun,Tuesday,84,71.1,0,"3,956","7,319","8,527","5,447","25,249",,1.214930037,,,
8-Jun,Wednesday,66,52,0.45,"2,630","5,266","6,325","4,094","18,315",,0.816821969,,,
9-Jun,Thursday,71.1,54,0,"3,733","6,933","7,913","5,017","23,596",,1.135443885,,,
10-Jun,Friday,75.9,57,0,"3,932","6,697","8,077","5,079","23,785",,1.322521802,,,
11-Jun,Saturday,87.1,63,0,"2,507","4,086","5,632","3,661","15,886",,1.059021117,,,
12-Jun,Sunday,82,66.9,0,"2,684","4,475","5,513","3,855","16,527",,1.204909127,,,
13-Jun,Monday,73.9,57.9,0,"3,696","6,952","7,913","5,108","23,669",,1.220447268,,,
14-Jun,Tuesday,79,59,0,"4,075","7,751","8,942","5,600","26,368",,1.268774019,,,
15-Jun,Wednesday,84,64.9,0,"3,966","7,559","9,037","5,840","26,402",,1.177490233,,,
16-Jun,Thursday,72,66,0.22,"3,373","5,196","6,184","3,633","18,386",,0.884737721,,,
17-Jun,Friday,75.9,66,0,"5,354","6,589","8,106","5,179","25,228",,1.402757201,,,
18-Jun,Saturday,86,64,0,"4,804","5,077","6,344","4,309","20,534",,1.368874457,,,
19-Jun,Sunday,87.1,68,0,"4,135","4,622","5,339","4,000","18,096",,1.31929785,,,
20-Jun,Monday,82,66.9,0,"4,057","7,049","8,297","5,334","24,737",,1.275516671,,,
21-Jun,Tuesday,86,72,0,"3,773","6,851","9,008","4,969","24,601",,1.183749607,,,
22-Jun,Wednesday,84,69.1,0,"4,428","7,495","8,788","5,680","26,391",,1.176999649,,,
23-Jun,Thursday,81,69.1,0,"3,580","6,204","7,660","5,066","22,510",,1.083185364,,,
24-Jun,Friday,82.9,70,0,"4,283","6,660","7,925","5,572","24,440",,1.358941889,,,
